----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
<h_i> = ( -1.735472241790e-03 , 1.800892134882e-03 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-9.220000000000e-01	-9.220000000000e-01	0.000000000000e+00	-9.487330599092e-01	2.100461232793e-04	
-9.210000000000e-01	-9.210000000000e-01	0.000000000000e+00	-9.486742968761e-01	2.155038831107e-04	
-9.200000000000e-01	-9.200000000000e-01	0.000000000000e+00	-9.486154633581e-01	2.208386627602e-04	
-9.190000000000e-01	-9.190000000000e-01	0.000000000000e+00	-9.485565333947e-01	2.261033393648e-04	
-9.180000000000e-01	-9.180000000000e-01	0.000000000000e+00	-9.484975406284e-01	2.312339455482e-04	
-9.170000000000e-01	-9.170000000000e-01	0.000000000000e+00	-9.484384508986e-01	2.362984686840e-04	
-9.160000000000e-01	-9.160000000000e-01	0.000000000000e+00	-9.483792708099e-01	2.412851698669e-04	
-9.150000000000e-01	-9.150000000000e-01	0.000000000000e+00	-9.483200039068e-01	2.461882538283e-04	
-9.140000000000e-01	-9.140000000000e-01	0.000000000000e+00	-9.482606405430e-01	2.510270799408e-04	
-9.130000000000e-01	-9.130000000000e-01	0.000000000000e+00	-9.482011799871e-01	2.558036833743e-04	
-9.120000000000e-01	-9.120000000000e-01	0.000000000000e+00	-9.481416251006e-01	2.605131408692e-04	
-9.110000000000e-01	-9.110000000000e-01	0.000000000000e+00	-9.480819666805e-01	2.651733838047e-04	
-9.100000000000e-01	-9.100000000000e-01	0.000000000000e+00	-9.480222092350e-01	2.697761341462e-04	
-9.090000000000e-01	-9.090000000000e-01	0.000000000000e+00	-9.479623494018e-01	2.743279810871e-04	
-9.080000000000e-01	-9.080000000000e-01	0.000000000000e+00	-9.479023831814e-01	2.788366321154e-04	
-9.070000000000e-01	-9.070000000000e-01	0.000000000000e+00	-9.478423126306e-01	2.832982059754e-04	
-9.060000000000e-01	-9.060000000000e-01	0.000000000000e+00	-9.477821335577e-01	2.877206382313e-04	
-9.050000000000e-01	-9.050000000000e-01	0.000000000000e+00	-9.477218475654e-01	2.921007531154e-04	
-9.040000000000e-01	-9.040000000000e-01	0.000000000000e+00	-9.476614498654e-01	2.964475433527e-04	
-9.030000000000e-01	-9.030000000000e-01	0.000000000000e+00	-9.476009426329e-01	3.007566029888e-04	
-9.020000000000e-01	-9.020000000000e-01	0.000000000000e+00	-9.475403237918e-01	3.050316219989e-04	
-9.010000000000e-01	-9.010000000000e-01	0.000000000000e+00	-9.474795919032e-01	3.092750370198e-04	
-9.000000000000e-01	-9.000000000000e-01	0.000000000000e+00	-9.474187461236e-01	3.134880945402e-04	
-8.990000000000e-01	-8.990000000000e-01	0.000000000000e+00	-9.473577849609e-01	3.176732912462e-04	
-8.980000000000e-01	-8.980000000000e-01	0.000000000000e+00	-9.472967077010e-01	3.218315614782e-04	
-8.970000000000e-01	-8.970000000000e-01	0.000000000000e+00	-9.472355134587e-01	3.259641467559e-04	
-8.960000000000e-01	-8.960000000000e-01	0.000000000000e+00	-9.471742019447e-01	3.300710165972e-04	
-8.950000000000e-01	-8.950000000000e-01	0.000000000000e+00	-9.471127710809e-01	3.341558317491e-04	
-8.940000000000e-01	-8.940000000000e-01	0.000000000000e+00	-9.470512217022e-01	3.382161070562e-04	
-8.930000000000e-01	-8.930000000000e-01	0.000000000000e+00	-9.469895511351e-01	3.422568025882e-04	
-8.920000000000e-01	-8.920000000000e-01	0.000000000000e+00	-9.469277597566e-01	3.462763132811e-04	
-8.910000000000e-01	-8.910000000000e-01	0.000000000000e+00	-9.468658461456e-01	3.502769306708e-04	
-8.900000000000e-01	-8.900000000000e-01	0.000000000000e+00	-9.468038097905e-01	3.542589152645e-04	
-8.890000000000e-01	-8.890000000000e-01	0.000000000000e+00	-9.467416498916e-01	3.582231493769e-04	
-8.880000000000e-01	-8.880000000000e-01	0.000000000000e+00	-9.466793653730e-01	3.621712018805e-04	
-8.870000000000e-01	-8.870000000000e-01	0.000000000000e+00	-9.466169559327e-01	3.661027166236e-04	
-8.860000000000e-01	-8.860000000000e-01	0.000000000000e+00	-9.465544207530e-01	3.700185660823e-04	
-8.850000000000e-01	-8.850000000000e-01	0.000000000000e+00	-9.464917586791e-01	3.739205801543e-04	
-8.840000000000e-01	-8.840000000000e-01	0.000000000000e+00	-9.464289694977e-01	3.778080122413e-04	
-8.830000000000e-01	-8.830000000000e-01	0.000000000000e+00	-9.463660521240e-01	3.816825242486e-04	
-8.820000000000e-01	-8.820000000000e-01	0.000000000000e+00	-9.463030062609e-01	3.855435233619e-04	
-8.810000000000e-01	-8.810000000000e-01	0.000000000000e+00	-9.462398302931e-01	3.893942782435e-04	
-8.800000000000e-01	-8.800000000000e-01	0.000000000000e+00	-9.461765244669e-01	3.932325450536e-04	
-8.790000000000e-01	-8.790000000000e-01	0.000000000000e+00	-9.461130877420e-01	3.970598947099e-04	
-8.780000000000e-01	-8.780000000000e-01	0.000000000000e+00	-9.460495194992e-01	4.008765787725e-04	
-8.770000000000e-01	-8.770000000000e-01	0.000000000000e+00	-9.459858189354e-01	4.046835315187e-04	
-8.760000000000e-01	-8.760000000000e-01	0.000000000000e+00	-9.459219854738e-01	4.084808385832e-04	
-8.750000000000e-01	-8.750000000000e-01	0.000000000000e+00	-9.458580183065e-01	4.122694659601e-04	
-8.740000000000e-01	-8.740000000000e-01	0.000000000000e+00	-9.457939169256e-01	4.160491989877e-04	
-8.730000000000e-01	-8.730000000000e-01	0.000000000000e+00	-9.457296804198e-01	4.198214735511e-04	
-8.720000000000e-01	-8.720000000000e-01	0.000000000000e+00	-9.456653084620e-01	4.235852050679e-04	
-8.710000000000e-01	-8.710000000000e-01	0.000000000000e+00	-9.456008000884e-01	4.273421182396e-04	
-8.700000000000e-01	-8.700000000000e-01	0.000000000000e+00	-9.455361546931e-01	4.310923652639e-04	
-8.690000000000e-01	-8.690000000000e-01	0.000000000000e+00	-9.454713717135e-01	4.348358367002e-04	
-8.680000000000e-01	-8.680000000000e-01	0.000000000000e+00	-9.454064505366e-01	4.385726408809e-04	
-8.670000000000e-01	-8.670000000000e-01	0.000000000000e+00	-9.453413903542e-01	4.423038733429e-04	
-8.660000000000e-01	-8.660000000000e-01	0.000000000000e+00	-9.452761903340e-01	4.460307097842e-04	
-8.650000000000e-01	-8.650000000000e-01	0.000000000000e+00	-9.452108502349e-01	4.497513986336e-04	
-8.640000000000e-01	-8.640000000000e-01	0.000000000000e+00	-9.451453691505e-01	4.534675561105e-04	
-8.630000000000e-01	-8.630000000000e-01	0.000000000000e+00	-9.450797464699e-01	4.571792392850e-04	
-8.620000000000e-01	-8.620000000000e-01	0.000000000000e+00	-9.450139815920e-01	4.608864014028e-04	
-8.610000000000e-01	-8.610000000000e-01	0.000000000000e+00	-9.449480737278e-01	4.645901410093e-04	
-8.600000000000e-01	-8.600000000000e-01	0.000000000000e+00	-9.448820223540e-01	4.682899175000e-04	
-8.590000000000e-01	-8.590000000000e-01	0.000000000000e+00	-9.448158267638e-01	4.719863217862e-04	
-8.580000000000e-01	-8.580000000000e-01	0.000000000000e+00	-9.447494862386e-01	4.756800012294e-04	
-8.570000000000e-01	-8.570000000000e-01	0.000000000000e+00	-9.446830002348e-01	4.793704893149e-04	
-8.560000000000e-01	-8.560000000000e-01	0.000000000000e+00	-9.446163680235e-01	4.830584959010e-04	
-8.550000000000e-01	-8.550000000000e-01	0.000000000000e+00	-9.445495888562e-01	4.867448234747e-04	
