----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
2.606250000000e-03	-6.549927936890e-04	3.999463694597e-02	-2.175187188548e-02	9.321204144177e-01	-2.092106930341e+00	
2.625000000000e-03	-6.597045462932e-04	3.999455950391e-02	-2.178665120345e-02	9.321198292384e-01	-2.092106960727e+00	
2.650000000000e-03	-6.659868688446e-04	3.999445538435e-02	-2.183302366866e-02	9.321190468006e-01	-2.092107000691e+00	
2.703125000000e-03	-6.793367495121e-04	3.999423085372e-02	-2.193156531241e-02	9.321173757771e-01	-2.092107083528e+00	
2.706250000000e-03	-6.801220342676e-04	3.999421750727e-02	-2.193736188622e-02	9.321172771283e-01	-2.092107088313e+00	
2.725000000000e-03	-6.848337372835e-04	3.999413710473e-02	-2.197214134419e-02	9.321166844107e-01	-2.092107116812e+00	
2.750000000000e-03	-6.911159931746e-04	3.999402903789e-02	-2.201851399500e-02	9.321158919218e-01	-2.092107154262e+00	
2.803125000000e-03	-7.044657301302e-04	3.999379611934e-02	-2.211705602916e-02	9.321141995398e-01	-2.092107231754e+00	
2.806250000000e-03	-7.052510063449e-04	3.999378227948e-02	-2.212285262576e-02	9.321140996346e-01	-2.092107236224e+00	
2.825000000000e-03	-7.099626579123e-04	3.999369891651e-02	-2.215763222011e-02	9.321134993786e-01	-2.092107262837e+00	
2.850000000000e-03	-7.162448446629e-04	3.999358690243e-02	-2.220400505171e-02	9.321126968387e-01	-2.092107297771e+00	
2.903125000000e-03	-7.295944326364e-04	3.999334559603e-02	-2.230254746604e-02	9.321109830982e-01	-2.092107369919e+00	
2.906250000000e-03	-7.303797000002e-04	3.999333126277e-02	-2.230834408483e-02	9.321108819366e-01	-2.092107374074e+00	
2.925000000000e-03	-7.350912982590e-04	3.999324493940e-02	-2.234312381195e-02	9.321102741424e-01	-2.092107398801e+00	
2.950000000000e-03	-7.413734133891e-04	3.999312897814e-02	-2.238949681952e-02	9.321094615514e-01	-2.092107431221e+00	
3.003125000000e-03	-7.547228471102e-04	3.999287928399e-02	-2.248803960379e-02	9.321077264525e-01	-2.092107498023e+00	
3.006250000000e-03	-7.555081053132e-04	3.999286445734e-02	-2.249383624418e-02	9.321076240345e-01	-2.092107501864e+00	
3.025000000000e-03	-7.602196484034e-04	3.999277517360e-02	-2.252861610045e-02	9.321070087020e-01	-2.092107524705e+00	
3.050000000000e-03	-7.665016894329e-04	3.999265526519e-02	-2.257498927916e-02	9.321061860600e-01	-2.092107554609e+00	
3.103125000000e-03	-7.798509636314e-04	3.999239718340e-02	-2.267353242313e-02	9.321044296027e-01	-2.092107616067e+00	
3.106250000000e-03	-7.806362123635e-04	3.999238186335e-02	-2.267932908450e-02	9.321043259283e-01	-2.092107619594e+00	
3.125000000000e-03	-7.853476984251e-04	3.999228961928e-02	-2.271410906632e-02	9.321037030575e-01	-2.092107640548e+00	
3.150000000000e-03	-7.916296628739e-04	3.999216576377e-02	-2.276048241137e-02	9.321028703646e-01	-2.092107667937e+00	
3.203125000000e-03	-8.049787722798e-04	3.999189929443e-02	-2.285902590480e-02	9.321010925489e-01	-2.092107724050e+00	
