----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 1.000000000000e-07 ) ,
sigma_h = ( 1.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( 4.942593011835e-04 , 0.000000000000e+00 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-3.524705000000e+00	-3.524705000000e+00	1.000000000000e-07	-1.000000000000e+00	2.838663068124e-08	
-3.520695000000e+00	-3.520695000000e+00	1.000000000000e-07	-1.000000000000e+00	2.841898737026e-08	
-3.516685000000e+00	-3.516685000000e+00	1.000000000000e-07	-1.000000000000e+00	2.845141791739e-08	
-3.512675000000e+00	-3.512675000000e+00	1.000000000000e-07	-1.000000000000e+00	2.848392257584e-08	
-3.508665000000e+00	-3.508665000000e+00	1.000000000000e-07	-1.000000000000e+00	2.851650159996e-08	
-3.504655000000e+00	-3.504655000000e+00	1.000000000000e-07	-1.000000000000e+00	2.854915524528e-08	
-3.500645000000e+00	-3.500645000000e+00	1.000000000000e-07	-1.000000000000e+00	2.858188376848e-08	
-3.496635000000e+00	-3.496635000000e+00	1.000000000000e-07	-1.000000000000e+00	2.861468742743e-08	
-3.492625000000e+00	-3.492625000000e+00	1.000000000000e-07	-1.000000000000e+00	2.864756648120e-08	
-3.488615000000e+00	-3.488615000000e+00	1.000000000000e-07	-1.000000000000e+00	2.868052119003e-08	
-3.484605000000e+00	-3.484605000000e+00	1.000000000000e-07	-1.000000000000e+00	2.871355181536e-08	
-3.480595000000e+00	-3.480595000000e+00	1.000000000000e-07	-1.000000000000e+00	2.874665861986e-08	
-3.476585000000e+00	-3.476585000000e+00	1.000000000000e-07	-1.000000000000e+00	2.877984186739e-08	
-3.472575000000e+00	-3.472575000000e+00	1.000000000000e-07	-1.000000000000e+00	2.881310182304e-08	
-3.468565000000e+00	-3.468565000000e+00	1.000000000000e-07	-1.000000000000e+00	2.884643875312e-08	
-3.464555000000e+00	-3.464555000000e+00	1.000000000000e-07	-1.000000000000e+00	2.887985292518e-08	
-3.460545000000e+00	-3.460545000000e+00	1.000000000000e-07	-1.000000000000e+00	2.891334460802e-08	
-3.456535000000e+00	-3.456535000000e+00	1.000000000000e-07	-1.000000000000e+00	2.894691407166e-08	
-3.452525000000e+00	-3.452525000000e+00	1.000000000000e-07	-1.000000000000e+00	2.898056158741e-08	
-3.448515000000e+00	-3.448515000000e+00	1.000000000000e-07	-1.000000000000e+00	2.901428742782e-08	
-3.444505000000e+00	-3.444505000000e+00	1.000000000000e-07	-1.000000000000e+00	2.904809186672e-08	
-3.440495000000e+00	-3.440495000000e+00	1.000000000000e-07	-1.000000000000e+00	2.908197517923e-08	
-3.436485000000e+00	-3.436485000000e+00	1.000000000000e-07	-1.000000000000e+00	2.911593764172e-08	
-3.432475000000e+00	-3.432475000000e+00	1.000000000000e-07	-1.000000000000e+00	2.914997953189e-08	
-3.428465000000e+00	-3.428465000000e+00	1.000000000000e-07	-1.000000000000e+00	2.918410112872e-08	
-3.424455000000e+00	-3.424455000000e+00	1.000000000000e-07	-1.000000000000e+00	2.921830271250e-08	
-3.420445000000e+00	-3.420445000000e+00	1.000000000000e-07	-1.000000000000e+00	2.925258456485e-08	
-3.416435000000e+00	-3.416435000000e+00	1.000000000000e-07	-1.000000000000e+00	2.928694696870e-08	
-3.412425000000e+00	-3.412425000000e+00	1.000000000000e-07	-1.000000000000e+00	2.932139020831e-08	
-3.408415000000e+00	-3.408415000000e+00	1.000000000000e-07	-1.000000000000e+00	2.935591456929e-08	
-3.404405000000e+00	-3.404405000000e+00	1.000000000000e-07	-1.000000000000e+00	2.939052033858e-08	
-3.400395000000e+00	-3.400395000000e+00	1.000000000000e-07	-1.000000000000e+00	2.942520780450e-08	
-3.396385000000e+00	-3.396385000000e+00	1.000000000000e-07	-1.000000000000e+00	2.945997725671e-08	
-3.392375000000e+00	-3.392375000000e+00	1.000000000000e-07	-1.000000000000e+00	2.949482898625e-08	
-3.388365000000e+00	-3.388365000000e+00	1.000000000000e-07	-1.000000000000e+00	2.952976328554e-08	
