----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
1.120000000000e-02	-2.812544308212e-03	3.990099741253e-02	-3.769314802922e-02	9.317040963742e-01	-2.092083789459e+00	
1.130000000000e-02	-2.837614287457e-03	3.989922236279e-02	-3.787863121679e-02	9.316975051144e-01	-2.092083082935e+00	
1.140000000000e-02	-2.862683146457e-03	3.989743156148e-02	-3.806411348786e-02	9.316908736855e-01	-2.092082366355e+00	
1.150000000000e-02	-2.887750875314e-03	3.989562500929e-02	-3.824959482319e-02	9.316842020881e-01	-2.092081639719e+00	
1.160000000000e-02	-2.912817464134e-03	3.989380270694e-02	-3.843507520351e-02	9.316774903231e-01	-2.092080903026e+00	
1.170000000000e-02	-2.937882903019e-03	3.989196465516e-02	-3.862055460956e-02	9.316707383911e-01	-2.092080156277e+00	
1.180000000000e-02	-2.962947182075e-03	3.989011085465e-02	-3.880603302207e-02	9.316639462930e-01	-2.092079399473e+00	
1.190000000000e-02	-2.988010291406e-03	3.988824130616e-02	-3.899151042180e-02	9.316571140295e-01	-2.092078632612e+00	
1.200000000000e-02	-3.013072221117e-03	3.988635601042e-02	-3.917698678946e-02	9.316502416013e-01	-2.092077855696e+00	
1.210000000000e-02	-3.038132961316e-03	3.988445496819e-02	-3.936246210582e-02	9.316433290094e-01	-2.092077068725e+00	
1.220000000000e-02	-3.063192502108e-03	3.988253818020e-02	-3.954793635159e-02	9.316363762545e-01	-2.092076271698e+00	
1.230000000000e-02	-3.088250833600e-03	3.988060564722e-02	-3.973340950752e-02	9.316293833373e-01	-2.092075464616e+00	
1.240000000000e-02	-3.113307945899e-03	3.987865737000e-02	-3.991888155435e-02	9.316223502588e-01	-2.092074647478e+00	
1.250000000000e-02	-3.138363829114e-03	3.987669334933e-02	-4.010435247282e-02	9.316152770196e-01	-2.092073820286e+00	
1.260000000000e-02	-3.163418473352e-03	3.987471358596e-02	-4.028982224365e-02	9.316081636207e-01	-2.092072983039e+00	
1.270000000000e-02	-3.188471868723e-03	3.987271808069e-02	-4.047529084760e-02	9.316010100629e-01	-2.092072135737e+00	
1.280000000000e-02	-3.213524005336e-03	3.987070683431e-02	-4.066075826539e-02	9.315938163469e-01	-2.092071278381e+00	
1.290000000000e-02	-3.238574873300e-03	3.986867984760e-02	-4.084622447776e-02	9.315865824738e-01	-2.092070410970e+00	
1.300000000000e-02	-3.263624462726e-03	3.986663712136e-02	-4.103168946545e-02	9.315793084443e-01	-2.092069533506e+00	
1.310000000000e-02	-3.288672763725e-03	3.986457865641e-02	-4.121715320919e-02	9.315719942592e-01	-2.092068645987e+00	
1.320000000000e-02	-3.313719766408e-03	3.986250445356e-02	-4.140261568973e-02	9.315646399195e-01	-2.092067748414e+00	
1.330000000000e-02	-3.338765460887e-03	3.986041451361e-02	-4.158807688778e-02	9.315572454261e-01	-2.092066840787e+00	
1.340000000000e-02	-3.363809837275e-03	3.985830883741e-02	-4.177353678410e-02	9.315498107797e-01	-2.092065923107e+00	
1.350000000000e-02	-3.388852885683e-03	3.985618742578e-02	-4.195899535941e-02	9.315423359814e-01	-2.092064995373e+00	
1.360000000000e-02	-3.413894596226e-03	3.985405027956e-02	-4.214445259445e-02	9.315348210321e-01	-2.092064057586e+00	
1.370000000000e-02	-3.438934959017e-03	3.985189739959e-02	-4.232990846996e-02	9.315272659325e-01	-2.092063109746e+00	
1.380000000000e-02	-3.463973964172e-03	3.984972878673e-02	-4.251536296666e-02	9.315196706837e-01	-2.
